local_path,filename,bytes,sha256,drive_root,drive_folder,drive_status,drive_verified,drive_path,notes
"verification/selection-exhaustive/evidence/AW/AW-007-002__PASS.png","AW-007-002__PASS.png","294966","b8aad09a674187c7e2835d534827519951678c365a9524dcd6fbebd083749b9a","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1yI4oVeeV_8inOSG42dKoQ5_tupCXbh6k/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-007-003__EMPTY_VALID.png","AW-007-003__EMPTY_VALID.png","294106","f9d878cdecd4f67b31e4ef3d238d4ab0aca21c62bb987b4de2ee616c18b7eeff","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1P0OTiud-tTaYIcrKM0_zVWz10vdhl-lp/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-007-004__PASS.png","AW-007-004__PASS.png","294966","b8aad09a674187c7e2835d534827519951678c365a9524dcd6fbebd083749b9a","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1mi4g0NRdvl4o1cgc7_LC9fEp1g5Mw9JF/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-007-005__PASS.png","AW-007-005__PASS.png","294941","e153fd1393d72003e3f3a4374099d36d0afc757d31864016eee0b800918233c4","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1yrv76DOyAQsFCuHpGs8Iqtqxvjh_hiqG/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-007-006__PASS.png","AW-007-006__PASS.png","295401","857fba85b4d3529daeb14ae93a15a51e89756db755c47fbcfe173f3ce7842a7c","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1bC7RoO8Ke3yyVZqLpTMvmRNZaNg7-c-m/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-007-007__EMPTY_VALID.png","AW-007-007__EMPTY_VALID.png","294106","f9d878cdecd4f67b31e4ef3d238d4ab0aca21c62bb987b4de2ee616c18b7eeff","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1f1fpbnPHCTacjPCXokPk3NpxdsjNhdRI/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-007-008__PASS.png","AW-007-008__PASS.png","295381","4e2117de794b25e2824e82f2168cccb5b4f5d0331ebf858947191becb9181b70","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1JwB3JuIjp19W8pTy8-9O2bXh2NJfl5g1/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-008-001__PASS.png","AW-008-001__PASS.png","295280","be9dfb6723f1968db72fbbdb357b87286b1cd183cb2b1c89b5f5229df0b3aa47","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1tQnizWZEShME-nIImD_Cxz9IppWDXc0-/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-008-002__PASS.png","AW-008-002__PASS.png","294966","b8aad09a674187c7e2835d534827519951678c365a9524dcd6fbebd083749b9a","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1eJuWQGM75MSg15vQvQ5CVCEcQfCpAl0p/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-008-003__EMPTY_VALID.png","AW-008-003__EMPTY_VALID.png","294106","f9d878cdecd4f67b31e4ef3d238d4ab0aca21c62bb987b4de2ee616c18b7eeff","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/12JNNaAiWWpkrVd8kV0K7wUgZnnua2Wsu/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-008-004__PASS.png","AW-008-004__PASS.png","294966","b8aad09a674187c7e2835d534827519951678c365a9524dcd6fbebd083749b9a","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/17j_gW6svH3mobH-YXdY58ZS0xzhhaSD3/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-008-005__PASS.png","AW-008-005__PASS.png","294941","e153fd1393d72003e3f3a4374099d36d0afc757d31864016eee0b800918233c4","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1txqpFvHLMA3dsujUoqiD5r8oO1dawj5Z/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-008-006__PASS.png","AW-008-006__PASS.png","295401","857fba85b4d3529daeb14ae93a15a51e89756db755c47fbcfe173f3ce7842a7c","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/10iZVr5gTQUOFDAy1GDlQQBFPGGisuEfv/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-008-007__EMPTY_VALID.png","AW-008-007__EMPTY_VALID.png","294106","f9d878cdecd4f67b31e4ef3d238d4ab0aca21c62bb987b4de2ee616c18b7eeff","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/12Ds3AdXren4E7RvwBlkdgQ8TgochkxZu/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-008-008__PASS.png","AW-008-008__PASS.png","295381","4e2117de794b25e2824e82f2168cccb5b4f5d0331ebf858947191becb9181b70","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1WzNGBA_n8kpyaXFZAqJ8YN7om3TJhd-V/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-009-001__PASS.png","AW-009-001__PASS.png","295280","be9dfb6723f1968db72fbbdb357b87286b1cd183cb2b1c89b5f5229df0b3aa47","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1Pfyy4A3jVi9rimQKaiKYurKqpewVT7nH/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
